round_id,team_id,position,party
307,3,1,Kontra
307,32,2,Re
307,17,3,Re
307,42,4,Kontra
308,3,1,Kontra
308,1,2,Re
308,34,3,Re
308,35,4,Kontra
309,3,1,Re
309,1,2,Kontra
309,34,3,Kontra
309,35,4,Re
310,3,1,Re
310,1,2,Re
310,34,3,Kontra
310,35,4,Kontra
311,3,1,Re
311,1,2,Kontra
311,34,3,Re
311,35,4,Kontra
312,3,1,Kontra
312,1,2,Re
312,34,3,Re
312,35,4,Kontra
313,3,1,Kontra
313,1,2,Re
313,34,3,Re
313,35,4,Kontra
314,33,1,Kontra
314,3,2,Kontra
314,1,3,Re
314,11,4,Re
315,33,1,Re
315,3,2,Re
315,1,3,Kontra
315,11,4,Kontra
316,33,1,Kontra
316,3,2,Kontra
316,1,3,Re
316,11,4,Kontra
317,33,1,Kontra
317,3,2,Re
317,1,3,Kontra
317,11,4,Re
318,4,1,Re
318,3,2,Kontra
318,1,3,Re
318,2,4,Kontra
319,4,1,Kontra
319,3,2,Re
319,1,3,Re
319,2,4,Kontra
320,4,1,Kontra
320,3,2,Kontra
320,1,3,Re
320,2,4,Re
321,4,1,Re
321,3,2,Kontra
321,1,3,Kontra
321,2,4,Re
322,33,1,Re
322,3,2,Kontra
322,1,3,Kontra
322,14,4,Re
323,28,1,Re
323,26,2,Kontra
323,2,3,Kontra
323,21,4,Re
324,33,1,Kontra
324,3,2,Kontra
324,1,3,Re
324,14,4,Kontra
325,28,1,Kontra
325,26,2,Kontra
325,2,3,Kontra
325,21,4,Re
326,33,1,Kontra
326,3,2,Re
326,1,3,Kontra
326,14,4,Re
327,28,1,Kontra
327,26,2,Kontra
327,2,3,Re
327,21,4,Kontra
328,33,1,Kontra
328,3,2,Kontra
328,1,3,Re
328,14,4,Re
329,1,1,Re
329,4,2,Kontra
329,2,3,Re
329,3,4,Kontra
330,25,1,Kontra
330,4,2,Re
330,2,3,Kontra
330,3,4,Re
331,1,1,Re
331,4,2,Kontra
331,2,3,Kontra
331,3,4,Re
332,1,1,Kontra
332,4,2,Kontra
332,2,3,Re
332,3,4,Re
333,25,1,Re
333,4,2,Kontra
333,2,3,Kontra
333,3,4,Re
334,25,1,Kontra
334,4,2,Re
334,2,3,Kontra
334,3,4,Kontra
335,25,1,Kontra
335,4,2,Re
335,2,3,Kontra
335,3,4,Re
336,25,1,Kontra
336,4,2,Re
336,2,3,Re
336,3,4,Kontra
337,1,1,Kontra
337,57,2,Re
337,42,3,Kontra
337,52,4,Re
338,22,1,Kontra
338,8,2,Kontra
338,13,3,Re
338,19,4,Re
339,22,1,Re
339,8,2,Kontra
339,13,3,Kontra
339,19,4,Re
340,22,1,Re
340,8,2,Kontra
340,13,3,Kontra
340,19,4,Kontra
341,22,1,Kontra
